date,return
2019-01-15,2.4024
2019-01-16,2.3851
2019-01-17,2.3576
2019-01-18,2.3514
2019-01-21,2.3916
2019-01-22,2.4015
2019-01-23,2.3928
2019-01-24,2.3945
2019-01-25,2.3912
2019-01-28,2.3851
2019-01-29,2.3985
2019-01-30,2.3964
2019-01-31,2.3858
2019-02-01,2.3854
2019-02-02,2.3809
2019-02-03,2.3841
2019-02-11,2.3677
2019-02-12,2.3832
2019-02-13,2.3672
2019-02-14,2.3661
2019-02-15,2.3668
2019-02-18,2.3639
2019-02-19,2.3683
2019-02-20,2.324
2019-02-21,2.348
2019-02-22,2.3366
2019-02-25,2.37
2019-02-26,2.3714
2019-02-27,2.3952
2019-02-28,2.4126
2019-03-01,2.4419
2019-03-04,2.4553
2019-03-05,2.4606
2019-03-06,2.455
2019-03-07,2.448
2019-03-08,2.4755
2019-03-11,2.4487
2019-03-12,2.448
2019-03-13,2.4541
2019-03-14,2.4707
2019-03-15,2.4733
2019-03-18,2.4748
2019-03-19,2.4826
2019-03-20,2.4802
2019-03-21,2.456
2019-03-22,2.4678
2019-03-25,2.46
2019-03-26,2.4947
2019-03-27,2.496
2019-03-28,2.4937
2019-03-29,2.4801
2019-04-01,2.478
2019-04-02,2.4787
2019-04-03,2.483
2019-04-04,2.5022
2019-04-08,2.5208
2019-04-09,2.5116
2019-04-10,2.5286
2019-04-11,2.5534
2019-04-12,2.5544
2019-04-15,2.5951
2019-04-16,2.6066
2019-04-17,2.6577
2019-04-18,2.7053
2019-04-19,2.702
2019-04-22,2.7066
2019-04-23,2.7182
2019-04-24,2.7037
2019-04-25,2.724
2019-04-26,2.7097
2019-04-28,2.6845
2019-04-29,2.6943
2019-04-30,2.6981
2019-05-05,2.7152
2019-05-06,2.6676
2019-05-07,2.6723
2019-05-08,2.675
2019-05-09,2.6865
2019-05-10,2.686
2019-05-13,2.6689
2019-05-14,2.6725
2019-05-15,2.6961
2019-05-16,2.6804
2019-05-17,2.6832
2019-05-20,2.6414
2019-05-21,2.6596
2019-05-22,2.6715
2019-05-23,2.6577
2019-05-24,2.6781
2019-05-27,2.6649
2019-05-28,2.7147
2019-05-30,2.6722
2019-05-31,2.6237
2019-06-03,2.641
2019-06-04,2.6452
2019-06-05,2.6358
2019-06-06,2.6313
2019-06-10,2.6428
2019-06-11,2.6436
2019-06-12,2.655
2019-06-13,2.6618
2019-06-14,2.6795
2019-06-17,2.6863
2019-06-18,2.7129
2019-06-19,2.7118
2019-06-20,2.6742
2019-06-21,2.6496
2019-06-24,2.6525
2019-06-25,2.6517
2019-06-26,2.6478
2019-06-27,2.6207
2019-06-28,2.6199
2019-07-01,2.6392
2019-07-02,2.646
2019-07-03,2.6096
2019-07-04,2.5847
2019-07-05,2.582
2019-07-08,2.5884
2019-07-09,2.6028
2019-07-10,2.6155
2019-07-11,2.5813
2019-07-12,2.5987
2019-07-15,2.6017
2019-07-16,2.6078
2019-07-17,2.6147
2019-07-18,2.6309
2019-07-19,2.6373
2019-07-22,2.6335
2019-07-23,2.6253
2019-07-24,2.6232
2019-07-25,2.6239
2019-07-26,2.6247
2019-07-29,2.617
