assign,alpha,alpha_t,alpha_p,beta,beta_t,beta_p,R^2
90,-0.0035986136423761727,-0.7288982299051656,0.46939805416939606,1.1644573118404684,8.307009130916468,4.8266391999957765e-11,0.5750226679407446
115,0.0026417526478029756,0.6078118801728063,0.5460094501260047,1.163616201257399,9.429230113893148,9.19934140970866e-13,0.6354809428515131
248,0.001714351538006839,0.41635595276251197,0.6788966141445847,1.1626654692394618,9.945099056648791,1.5556891651317717e-13,0.659784519414329
185,0.0016198155379253247,0.36331732886298734,0.7178695066671773,1.1615668793296194,9.17601709944874,2.224420938441045e-12,0.622779083589067
30,0.000722877347951633,0.14146460732369315,0.8880602465171185,1.159336926761671,7.990653406324611,1.5025647047693538e-10,0.5559446287840366
17,0.002030860676409523,0.3281176480712113,0.7441660462732289,1.1585050001839705,6.592297742058865,2.398077456252059e-08,0.4600797212488341
83,0.0010141172358211787,0.1789080616435394,0.8587187467076514,1.1577265957134433,7.193449493139014,2.6933398931982424e-09,0.5036289377416477
14,0.0034737700692092748,0.4693425659722872,0.6408252131274221,1.1576784901735997,5.508917653795815,1.1924814840826922e-06,0.37306521252881
176,0.0019583682531897546,0.5732978248670919,0.5689624878037761,1.1567489941186442,11.92654102419948,2.2756205348689844e-16,0.7360827382256352
181,0.0008839380631229766,0.21032727344255686,0.8342503064465527,1.1559124101850444,9.686973798821382,3.771428422793074e-13,0.6478811523316564
136,-0.0005290210591972855,-0.11400079963259975,0.9096847723490182,1.1553798094427201,8.768981479355293,9.321667003318987e-12,0.601235501226815
43,-0.000529937189495156,-0.09008789094203948,0.9285702516313369,1.1548203908960637,6.914263197796894,7.434777264642192e-09,0.4838424237038219
210,0.0021194929965591158,0.5999670305352837,0.5511848035054672,1.1534339565697411,11.499463378857467,8.910720054533676e-16,0.7216729325391656
37,0.0019408945823997349,0.35049702084118123,0.7274093036066586,1.1521444450934937,7.327886861546407,1.6525759928840055e-09,0.5128843328727678
166,0.002094499014710259,0.5309683771054838,0.5977455487849208,1.151488787227706,10.281054267948656,4.9708058988044825e-14,0.6745374921200562
84,0.0017067807448643332,0.32848845877389266,0.7438873539102917,1.1492647280380925,7.790259074436371,3.095248166383633e-10,0.5433713765626738
138,0.0005626717428575908,0.11983176417673295,0.9050872376705429,1.1485418266907932,8.614956822928582,1.609617626889817e-11,0.5927086252822297
167,-0.0009036521434095912,-0.26852723690298974,0.7893767623459922,1.1461788007958333,11.995790536386599,1.8278392538395565e-16,0.7383259921210297
123,-0.0011278418863697685,-0.25846411342723025,0.7970890049967888,1.1456776339620085,9.24706497186747,1.7351232908865944e-12,0.6263960989738104
144,0.002538660688122611,0.5998113404525518,0.5512877651978041,1.1435728005089034,9.516193712798438,6.803674118374975e-13,0.6397235012136384
247,0.00045227396204851355,0.11408458203557459,0.9096186900798913,1.1431490808642852,10.15588287389159,7.592089351491914e-14,0.6691361585792164
31,0.0032252464410464027,0.5231830201046578,0.60311274785497,1.1416253114327575,6.522344998825667,3.092240348352321e-08,0.45478444138112784
11,-0.00020287240854563395,-0.03206875267237182,0.9745423987765204,1.1411056129198167,6.352934337403208,5.7199963833788456e-08,0.441767449951997
161,0.003142654438910534,0.6483731383231516,0.5196523976523876,1.1401843044440887,8.285007101881193,5.222094198135431e-11,0.5737259474163066
44,0.0005935572040319626,0.09585058410722473,0.9240148917870152,1.1372328396117015,6.468014988877736,3.766910780894664e-08,0.4506395185397978
113,0.0013722972872462016,0.31826113317124705,0.7515865037871894,1.137050280204442,9.287621571142642,1.5060744905296987e-12,0.6284421405563325
99,0.00044898005719133844,0.08814316801753509,0.9301080903798726,1.1345834193369932,7.844901219004501,2.541051896851759e-10,0.5468377611350923
194,0.0013303588096754675,0.3623266466340875,0.7186050995152566,1.1279252082744635,10.819351481862334,8.219750465219553e-15,0.6965340014558672
133,-0.0006854812226826852,-0.15330117912763389,0.8787657377313889,1.1276491508103588,8.882053235381797,6.2508052544216905e-12,0.6073627028046457
108,0.002022719554509419,0.35763695707167337,0.7220908817129835,1.1276171642389892,7.021951703184086,5.024910093599284e-09,0.49156499204636905
178,0.0016898857211077273,0.4308589033279732,0.6683865679010342,1.12654741125745,10.116182400904046,8.686985833290869e-14,0.6673995753287136
68,0.0010638125123619176,0.184259656480864,0.8545404809713051,1.124876206849293,6.862136234543846,8.987341384189264e-09,0.48006356604954925
239,0.0032639323622968798,1.1547678534106194,0.25356765263390285,1.1243659578966343,14.010404211790057,4.076467323201026e-19,0.7937655955635803
131,0.000873960740138428,0.15822290125270133,0.8749060021973332,1.1238894914130322,7.166225540197143,2.9735154330828753e-09,0.5017331308979168
121,0.0013941832075614182,0.37613202930098616,0.7083789342537616,1.120916840939347,10.65082639305486,1.4383909657229827e-14,0.6898566765980886
137,-0.0003587177456729416,-0.05956477979585261,0.9527350647919045,1.1203572202751442,6.5521320028109225,2.775014920635036e-08,0.45704498588579356
221,0.004901941351811932,1.7272242948005925,0.09017992182188907,1.1195243419356726,13.893242306453045,5.733101381317188e-19,0.7910026062927191
26,-0.0007213507322713316,-0.0986618669266321,0.9217935178520575,1.117002886936916,5.380796776083013,1.878980968579461e-06,0.36212504071755014
182,0.00010245129801463455,0.027142019060644357,0.9784523908895049,1.1136592381151647,10.391217904958685,3.429437079891447e-14,0.6791997042542423
79,0.0008706011340544334,0.1452061296784176,0.8851204888034591,1.113242163937877,6.53950400755813,2.9053284863307825e-08,0.4560876796225696
124,0.0009613985099334451,0.23693625318945008,0.8136553978942604,1.112159912858115,9.653498889101494,4.2327314396166854e-13,0.6463001208934138
57,-0.0021702315106199785,-0.4032651486071628,0.6884388979070231,1.1058692381885553,7.237321162476119,2.2963837547176243e-09,0.5066687627152113
164,7.800872822755626e-05,0.018237126994337324,0.9855208462314908,1.1041113372046212,9.091081183220014,2.9956125298925967e-12,0.6183998810431864
156,-0.004090403391640151,-1.012271711558978,0.316186738103592,1.1020087900386868,9.605178969447286,5.000984546074809e-13,0.6440025746327134
190,0.001726046551292504,0.36932801805517324,0.7134122958762742,1.0964040631153735,8.262658992800999,5.657162736738104e-11,0.5724042573507268
223,-0.0003729731922397731,-0.0877967938488822,0.9303820228644202,1.094956625386962,9.07794185816464,3.1369762017988138e-12,0.617717026956757
146,-0.0022866980390429973,-0.44091272496773926,0.6611396558807074,1.0910791386814116,7.409510330719237,1.2287817882389867e-09,0.5184174328455209
20,-0.0014910167711913544,-0.2067037364654322,0.8370642894152505,1.0894344021275837,5.3193225553583074,2.335153650409834e-06,0.35683364368551207
198,-0.00043271874236363217,-0.09830932549130408,0.9220720492602337,1.0892158475654645,8.715501936349424,1.1265714858580713e-11,0.5982985944925328
232,-0.0014448058238302449,-0.3048949744520117,0.7616869648912522,1.0887301041958257,8.091899050685095,1.0439229430420545e-10,0.5621521963082905
122,-0.0014690357901899682,-0.35335386755842574,0.7252796449262242,1.0876660535654128,9.214302988957053,1.945591316384241e-12,0.6247333939707722
114,-0.00071059781214026,-0.14520075542757463,0.8851247102577267,1.0844262752036615,7.804309492603859,2.942095871524199e-10,0.5442654383534724
149,-0.00028316441460130357,-0.07203939562942047,0.9428523331776761,1.0841526092310607,9.714294100982505,3.4327758300459795e-13,0.6491650710535963
140,-0.004266561424998623,-0.927710596520395,0.3579275823519975,1.0827656932344232,8.291983777776906,5.0932907318013583e-11,0.5741376108144158
206,0.002093608095694135,0.40419899910099505,0.687756469238499,1.0822618427018533,7.359047965620463,1.4757828808903398e-09,0.5150043713868193
145,-0.0010469216220592007,-0.26236769948823285,0.7940948803696992,1.080865141165207,9.540192780882222,6.261105934680095e-13,0.640883709050241
67,-0.0038412897951802067,-0.7812690734423826,0.4382560374657498,1.0802491428440941,7.738146240137618,3.736598972424345e-10,0.5400387569433623
177,-0.0026355636946176412,-0.49128617653675405,0.6253317209097289,1.0790848816763394,7.084448997232945,4.0032026414461174e-09,0.49599472738911166
196,-0.002218122561615703,-0.5435365851034376,0.5891285424881978,1.0782663158995198,9.305907314851202,1.4130241857711264e-12,0.629360225257937
151,0.0003318240197313531,0.08453409067493173,0.9329627671570992,1.0781253131551067,9.673480270608001,3.9509387924628437e-13,0.6472448940257853
135,-9.776034156464984e-05,-0.0217809255590867,0.9827077055059885,1.0762310330855072,8.445173441739298,2.946146948332331e-11,0.5830640774125417
102,-0.002996958211528591,-0.6106405776638245,0.5441494226500603,1.0757082766156698,7.7194956191122275,3.997237138589911e-10,0.5388397008140127
195,0.001168139935146199,0.2797927448801725,0.780768201365878,1.0754754862076645,9.072595227832897,3.1964074765973955e-12,0.6174387447741165
170,7.713334031518267e-05,0.01917255760705192,0.9847782625475725,1.0740700729660044,9.402860004676187,1.0082170754975924e-12,0.634182493542607
189,0.001796934782988756,0.3815806772549589,0.7043576434021399,1.0719195284775689,8.016885562547074,1.3671805549102575e-10,0.5575622531547337
208,0.0011934794447073518,0.3927278434637999,0.6961572162154867,1.070957772382533,12.411907728988222,4.9633028473320826e-17,0.7512867902987239
66,-0.0017975647732424503,-0.3017140636867049,0.7640969431018769,1.0704724607070748,6.328138076348548,6.258270954717433e-08,0.43983948268086903
91,-8.467830880079259e-05,-0.019352884903689183,0.9846351127882473,1.0656185207330378,8.577579267959425,1.8383494563459038e-11,0.5906076273858694
155,3.824850115417486e-05,0.00983833943285886,0.9921886524375079,1.064185818515806,9.640827010713796,4.421868253432307e-13,0.6456993522072219
120,-0.0036093932726692975,-0.7640718118639572,0.44834515384605844,1.0615814546342928,7.914850908392138,1.9744033820386036e-10,0.5512335727272404
171,-0.0022396279558791333,-0.4373301218899914,0.6637183350433922,1.0610835913877092,7.297473927480872,1.8455782533130697e-09,0.5108060343833983
153,-0.002316170277879891,-0.5874041864726187,0.5595240897553602,1.0587223787875584,9.456666825032112,8.363424910568934e-13,0.6368259806866345
214,-9.259575063904723e-05,-0.02406015498548167,0.9808985206822256,1.0571042005219857,9.674189818174508,3.941288002052528e-13,0.6472783863582381
52,-0.0014955090209546112,-0.2272172825171058,0.8211631760835603,1.0569235872398863,5.6556868705588395,7.065157172116942e-07,0.3854443875294665
165,-0.001629508320582302,-0.4795116222444644,0.6336246565065964,1.0506118212874789,10.888656077998323,6.5368146491499935e-15,0.6992265365964667
157,-0.0006827337636159392,-0.15065982681681017,0.8808383813727947,1.0505602794514384,8.165005877970948,8.028738721199383e-11,0.5665746481514231
244,-0.0015329425649502492,-0.5546104455847117,0.5815853400552835,1.0492470814936032,13.369937387908776,2.6853004709141507e-18,0.7780246354264491
